PuzzleId,FEN,Moves,Rating,Themes
fC3hL,r1bq1kBr/ppp3pp/3p4/8/3bP3/1Q6/P4PPP/RNB2RK1 b - - 0 12,d4a1 b3f7,619,mate mateIn1 middlegame oneMove
pgqrv,6k1/1q2p2p/pNn2npB/P2Qp3/8/8/2P3PP/5RK1 b - - 0 30,f6d5 f1f8,620,endgame mate mateIn1 oneMove operaMate
VBSUD,6k1/7p/2p1R1p1/pp1r4/1n4P1/2K2r1P/bP2B3/6R1 w - - 0 33,e2f3 d5d3,624,endgame hookMate mate mateIn1 oneMove
Vpto5,r1b1k2r/1p1p2p1/3qp3/p4pBp/2pP2n1/2P2Q1P/PPB2PP1/R4R1K w kq - 0 17,c2f5 d6h2,624,mate mateIn1 middlegame oneMove
QaDJh,1k1Q1r2/ppp2Npp/4p3/4P3/5P2/1B6/PP2q1bP/1K1R4 b - - 4 23,f8d8 d1d8,626,backRankMate endgame mate mateIn1 oneMove
0Vx9N,6k1/5pp1/3p3p/p2Np2B/b1Pp4/q5P1/P6P/K1R4R w - - 3 33,h5d1 a3c1,626,endgame hangingPiece mate mateIn1 oneMove
5Kxb9,1r1qk2r/p4ppp/bpn5/2ppP3/3P3b/P3PN1P/1P1N2P1/1BRQK2R w Kk - 1 15,f3h4 d8h4 g2g3 h4g3,628,mate mateIn2 middlegame short
a5Y6t,r5k1/q4ppp/r3p3/3pPn2/PR1NnB2/7P/2Q2PP1/2R3K1 b - - 8 23,f5d4 c2c8 a8c8 c1c8,628,backRankMate mate mateIn2 middlegame sacrifice short
x1sJa,4r1k1/5ppp/pq3n2/b3rb2/5Q2/P1N2p2/5PPP/BRR3K1 w - - 0 23,b1b6 e5e1 c1e1 e8e1,634,kingsideAttack mate mateIn2 middlegame short
MHAQ8,1rbR2r1/7p/2pQPk2/p1P2pp1/1p3P2/2q3N1/P5PP/4R2K w - - 4 31,d8g8 c3e1 g3f1 e1f1,637,hangingPiece kingsideAttack mate mateIn2 middlegame short
ZoTsf,r6k/1pp1q2n/p5QB/2bP4/4N3/8/PP4P1/4R2K w - - 1 29,h6d2 e7h4,640,master mate mateIn1 middlegame oneMove
gJcDj,r1b2rk1/p1q1pp2/1p2P1pp/2pP4/2Pb2n1/2N4N/PP2Q1PP/R1B2RK1 w - - 1 18,g1h1 c7h2,645,kingsideAttack mate mateIn1 middlegame oneMove
zIIxO,2kr3r/ppp1qp1p/2n3p1/5b2/Q2P4/2P2Nn1/PP1NP1B1/R1B1K2R w KQ - 0 14,d2f1 e7e2,647,master mate mateIn1 middlegame oneMove
YO12I,r3Q2k/pp4p1/2p2N1p/3p4/3q4/P6P/5P2/4R1K1 b - - 1 30,a8e8 e1e8,649,endgame mate mateIn1 oneMove
CbDQt,4R3/8/3Pk3/5p2/6p1/4K1P1/8/3r4 b - - 2 47,e6d6 e8d8 d6c5 d8d1,653,crushing endgame rookEndgame short skewer
6Nthf,rnbq1kB1/pppp3p/8/8/4P3/1Q6/P4PPP/bN2K1NR b K - 0 10,d8g5 b3f7,660,mate mateIn1 middlegame oneMove
8xVvF,r4rk1/1pb2pp1/p1nqbn1p/2pp4/3P4/1P3B2/PBPNNPPP/R2Q1RK1 w - - 1 14,d4c5 d6h2,662,kingsideAttack mate mateIn1 middlegame oneMove
i6e30,rnb1r1k1/p3qppp/8/1p6/2pP4/4P3/P1Q1NPPP/RB2K2R b KQ - 1 15,a7a6 c2h7 g8f8 h7h8,667,kingsideAttack mate mateIn2 middlegame short
mCViW,3q1rk1/pb2bppp/3npB2/3p4/1P6/P3PN2/2QN1PPP/1B3RK1 b - - 0 18,e7f6 c2h7,669,kingsideAttack mate mateIn1 middlegame oneMove
inBUW,8/p2R1pkp/6pb/1p6/4P3/1P5P/P1P3P1/6K1 w - - 0 25,d7a7 h6e3 g1f1 e3a7,676,advantage endgame fork short
3xDRf,r3k2r/pp3pb1/2N2npp/5q2/Q5bP/2P1P3/PP1N1PP1/R3K2R b KQkq - 0 14,e8g8 c6e7 g8h7 e7f5,680,advantage fork middlegame short
I53YG,5rk1/ppp1R1pp/3p4/P4r2/1P6/2qn1PQ1/6PP/5RK1 b - - 5 25,d3e5 g3g7,688,kingsideAttack mate mateIn1 middlegame oneMove
kvRwT,6qk/3Q2p1/1P1pr3/5p1p/3n4/8/1R4PP/2R4K w - - 0 37,c1c8 e6e1,690,backRankMate endgame mate mateIn1 oneMove
aIE5v,4k2r/1b2bppp/pq1ppn1P/6B1/1n1NP1P1/2r2P2/1PPQ4/2KR1B1R w k - 0 16,b2c3 b4a2,696,cornerMate mate mateIn1 middlegame oneMove
Icufs,rn2k2r/ppb2ppp/2p1pn2/7q/2NP4/1QP2b2/PP2BPPP/R1B2RK1 w kq - 0 11,e2f3 h5h2,696,kingsideAttack mate mateIn1 oneMove opening
lJNMh,1r2Q3/ppqP2p1/k2r4/8/2p1B3/8/P1P2PPP/1R3K2 w - - 7 33,e8e5 d6d1 b1d1 c7e5,697,crushing discoveredAttack endgame short
KA1G9,r3q1k1/pp5p/2n1p1pB/8/8/8/P1P2PPP/Q4RK1 b - - 1 18,a8d8 a1g7,698,endgame master mate mateIn1 oneMove
0pCEp,r4Q1k/ppp1R3/7p/8/8/2bq4/P5PP/5RK1 b - - 1 24,a8f8 f1f8,699,endgame mate mateIn1 oneMove
GUmSP,r2qk1nr/p1pbbppp/2pp4/7Q/2B1P3/8/PPP2PPP/RNB1K2R b KQkq - 3 8,g8f6 h5f7,700,attackingF2F7 mate mateIn1 oneMove opening
